"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Tommy La Stella","SFG","19","49","54","12","8","3","0","1","5","2","5","0","6","0","0","0","0","0","0",".245","12371"
"Billy McKinney","MIL","18","45","46","11","7","0","1","3","6","5","1","0","11","0","0","0","0","0","0",".244","15654"
"Hanser Alberto","KCR","15","41","43","10","4","4","2","0","5","5","0","0","5","1","0","1","0","0","1",".244","11902"
"Adam Eaton","CHW","18","70","80","17","10","4","0","3","14","16","7","0","16","3","0","0","1","1","0",".243","11205"
"Jose Ramirez","CLE","19","70","80","17","10","2","1","4","9","8","9","1","9","0","1","0","2","4","0",".243","13510"
"Kevin Kiermaier","TBR","11","33","34","8","7","1","0","0","5","3","1","0","11","0","0","0","2","1","0",".242","11038"
"Justin Upton","LAA","17","62","70","15","9","2","0","4","10","11","6","0","21","1","1","0","2","0","0",".242","5222"
"Jonathan Villar","NYM","14","29","31","7","3","3","1","0","4","3","1","0","9","1","0","0","0","0","0",".241","10071"
"Josh Naylor","CLE","17","58","62","14","9","5","0","0","4","2","3","0","15","0","0","0","0","0","0",".241","18839"
"Alex Dickerson","SFG","21","54","59","13","9","1","0","3","6","9","3","0","12","2","0","0","3","0","0",".241","12649"
"Paul Goldschmidt","STL","19","79","84","19","14","3","0","2","13","9","5","0","21","0","0","0","3","0","0",".241","9218"
"Wilmer Difo","PIT","15","25","26","6","2","2","1","1","3","2","1","0","11","0","0","0","0","0","0",".240","14320"
"Mitch Moreland","OAK","18","46","54","11","9","0","0","2","6","9","6","0","13","1","1","0","1","0","0",".239","3086"
"Isiah Kiner-Falefa","TEX","21","88","93","21","16","2","1","2","12","8","2","0","18","2","0","1","0","3","0",".239","16512"
"Nomar Mazara","DET","12","38","40","9","7","0","0","2","3","5","2","0","7","0","0","0","3","0","0",".237","14553"
"Andrew Vaughn","CHW","13","38","45","9","6","3","0","0","4","1","6","0","13","1","0","0","1","0","0",".237","26197"
"Anthony Rizzo","CHC","20","68","82","16","8","3","1","4","12","7","13","0","11","0","1","0","2","3","0",".235","3473"
"Scott Schebler","LAA","6","17","17","4","1","3","0","0","2","0","0","0","7","0","0","0","0","0","0",".235","12225"
"Daniel Vogelbach","MIL","18","34","39","8","6","0","0","2","7","4","5","0","12","0","0","0","0","0","0",".235","14130"
"J.P. Crawford","SEA","21","68","75","16","15","1","0","0","11","4","7","0","12","0","0","0","3","1","1",".235","15491"
"Max Kepler","MIN","14","47","54","11","6","4","1","0","5","8","5","1","12","1","1","0","0","3","0",".234","12144"
"Javier Baez","CHC","19","73","78","17","9","2","0","6","12","17","1","0","35","3","0","0","0","5","0",".233","12979"
"Albert Pujols","LAA","16","56","59","13","9","0","0","4","7","10","2","1","8","1","0","0","2","1","0",".232","1177"
"Chris Taylor","LAD","17","56","69","13","7","3","0","3","13","9","10","0","19","3","0","0","1","2","0",".232","13757"
"Dominic Smith","NYM","15","56","59","13","9","2","0","2","3","7","2","0","15","0","1","0","2","0","0",".232","15653"
"Billy Hamilton","CHW","8","13","15","3","3","0","0","0","2","1","2","0","2","0","0","0","0","2","0",".231","10199"
"Aristides Aquino","CIN","10","13","14","3","0","1","0","2","2","3","1","1","5","0","0","0","0","0","0",".231","15482"
"Jordan Luplow","CLE","15","39","47","9","2","2","0","5","6","11","8","0","13","0","0","0","0","0","1",".231","16424"
"Nick Senzel","CIN","19","52","58","12","9","3","0","0","10","2","6","0","9","0","0","0","0","1","2",".231","19293"
"A.J. Pollock","LAD","19","61","65","14","10","3","0","1","8","5","4","1","20","0","0","0","1","1","0",".230","9256"
"Manuel Margot","TBR","19","61","68","14","8","3","1","2","10","11","6","0","15","0","1","0","1","2","0",".230","14712"
"Austin Slater","SFG","19","61","69","14","9","2","1","2","5","7","8","0","23","0","0","0","0","2","0",".230","16153"
"Brandon Belt","SFG","20","48","58","11","5","3","0","3","6","7","10","0","17","0","0","0","1","2","1",".229","10264"
"Will Smith","LAD","15","48","62","11","4","5","0","2","9","4","10","1","12","3","1","0","3","0","0",".229","19197"
"Jorge Alfaro","MIA","10","35","36","8","7","1","0","0","1","3","1","0","12","0","0","0","0","1","0",".229","12180"
"Carlos Santana","KCR","19","66","81","15","7","4","0","4","9","14","14","1","12","0","1","0","0","1","0",".227","2396"
"James McCann","NYM","13","44","48","10","9","0","0","1","2","3","4","0","11","0","0","0","2","0","0",".227","12859"
"Jorge Mateo","SDP","15","22","26","5","3","2","0","0","0","1","1","0","7","3","0","0","0","1","0",".227","17273"
"Eduardo Escobar","ARI","19","75","85","17","7","4","0","6","14","12","9","0","16","0","1","0","0","1","0",".227","6153"
"Fernando Tatis Jr.","SDP","14","53","59","12","5","1","0","6","11","8","6","0","19","0","0","0","1","2","1",".226","19709"
"Joey Gallo","TEX","20","62","86","14","13","0","0","1","9","7","21","1","28","3","0","0","1","2","0",".226","14128"
"Ramon Laureano","OAK","18","71","79","16","10","2","2","2","12","7","5","0","19","3","0","0","0","8","1",".225","17128"
"Alec Bohm","PHI","20","71","81","16","12","2","0","2","7","12","6","0","21","0","4","0","2","2","0",".225","21618"
"Joey Votto","CIN","20","80","87","18","11","3","0","4","8","11","7","0","17","0","0","0","0","0","0",".225","4314"
"Andrew Stevenson","WSN","17","40","44","9","6","2","0","1","6","5","3","0","13","0","1","0","1","0","0",".225","17932"
"Marwin Gonzalez","BOS","18","58","71","13","9","3","0","1","10","5","8","0","14","4","1","0","1","2","0",".224","5497"
"Jason Heyward","CHC","19","63","68","14","8","3","1","2","9","5","5","0","16","0","0","0","0","1","0",".222","4940"
"Jason Castro","HOU","9","27","33","6","2","2","0","2","6","6","5","0","9","1","0","0","1","0","0",".222","8722"
"Robel Garcia","HOU","7","9","10","2","2","0","0","0","1","1","1","0","3","0","0","0","0","0","0",".222","13167"
"Stephen Piscotty","OAK","15","45","50","10","5","3","0","2","5","5","4","0","15","1","0","0","1","1","0",".222","13367"
"Lane Thomas","STL","4","9","10","2","2","0","0","0","0","0","1","0","3","0","0","0","0","0","0",".222","16939"
"Austin Hays","BAL","7","27","27","6","5","1","0","0","4","2","0","0","9","0","0","0","0","0","0",".222","19363"
"Wilson Ramos","DET","19","68","74","15","6","3","0","6","8","8","4","0","17","0","0","0","1","0","0",".221","1433"
