"Name","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Brad Boxberger","MIL","0","1","3.60","16","0","0","0","1","4","0","15.0","59","10","7","6","3","2","0","2","0","0","15","10133"
"Carlos Estevez","COL","0","0","3.60","10","0","0","0","1","0","0","10.0","42","10","5","4","1","4","0","0","1","0","10","14542"
"Derek Law","MIN","0","0","3.60","4","0","0","0","0","0","0","5.0","26","6","2","2","1","5","0","0","1","0","8","13133"
"Domingo German","NYY","3","2","3.62","7","7","0","0","0","0","0","37.1","153","35","16","15","7","8","0","0","1","0","37","17149"
"Johnny Cueto","SFG","2","1","3.62","5","5","0","0","0","0","0","27.1","111","29","11","11","2","5","0","0","0","0","22","6893"
"Adrian Houser","MIL","3","4","3.63","8","8","0","0","0","0","0","39.2","165","36","19","16","5","16","0","1","4","1","34","12718"
"Aaron Nola","PHI","3","3","3.64","9","9","1","1","0","0","0","54.1","223","50","22","22","6","9","1","3","0","0","61","16149"
"Pierce Johnson","SDP","0","1","3.65","14","0","0","0","0","0","1","12.1","50","9","5","5","1","5","0","0","0","0","16","13435"
"Austin Adams","SDP","0","0","3.65","15","0","0","0","0","4","0","12.1","55","8","5","5","0","4","0","6","0","0","24","13801"
"Will Vest","SEA","1","0","3.66","17","0","0","0","0","4","0","19.2","84","18","9","8","1","9","0","1","1","0","13","19769"
"Vince Velasquez","PHI","1","0","3.68","8","5","0","0","0","0","0","29.1","128","22","12","12","7","19","1","0","0","0","37","11189"
"Wade Miley","CIN","4","3","3.69","7","7","1","1","0","0","0","39.0","160","30","16","16","3","11","0","0","0","0","32","8779"
"Ryan Tepera","CHC","0","0","3.71","18","0","0","0","0","4","2","17.0","67","12","7","7","2","5","0","2","1","0","15","10291"
"Justin Dunn","SEA","1","1","3.72","6","6","0","0","0","0","0","29.0","127","19","12","12","3","20","0","2","0","0","24","19268"
"Jose Berrios","MIN","3","2","3.74","8","8","0","0","0","0","0","45.2","183","38","19","19","5","14","0","3","1","0","49","14168"
"Jorge Alcala","MIN","0","1","3.77","14","0","0","0","0","0","0","14.1","51","8","6","6","4","3","0","1","0","0","13","19459"
